member_casual,month,number_of_rides,average_ride_length
casual,January,17813,21.714782275117425
member,January,77549,12.86725941017937
casual,February,9904,30.8426528002154
member,February,38618,16.132190515649008
casual,March,82987,31.758025554203268
member,March,142344,14.065958523014668
casual,April,134700,31.48451076466221
member,April,197436,14.738770707132101
casual,May,252903,32.074270240632444
member,May,269815,14.709781022799573
casual,June,364381,29.81437451458775
member,June,352548,14.663523879490642
casual,July,435289,27.902419963135603
member,July,373710,14.30103801521679
casual,August,407009,26.659893802512148
member,August,385305,14.090603850629156
casual,September,226529,32.54023517224432
member,September,295418,15.276495564477
casual,October,141748,27.475605887443443
member,October,237917,13.954724196533524
casual,November,86628,28.188779224577118
member,November,168387,13.610917212532241
casual,December,29620,23.0197794283142
member,December,99815,12.733496301491092
