member_casual,weekday,average_ride_length,number_of_rides
casual,Monday,29.345597268747955,246578
member,Monday,13.8202139275165,358408
casual,Tuesday,26.70040740616444,238378
member,Tuesday,13.516266706294369,393664
casual,Wednesday,25.783037157496352,237978
member,Wednesday,13.646005709283042,400167
casual,Thursday,25.300981244056793,243976
member,Thursday,13.49059822496195,384142
casual,Friday,27.277786276959052,317024
member,Friday,14.105273608071592,389316
casual,Saturday,31.733785187747102,491530
member,Saturday,15.903748684782883,382383
casual,Sunday,33.269478746776734,414047
member,Sunday,16.177402287105505,330782
