member_casual,station_name,number_of_stations
member,NA,225702
casual,NA,208294
casual,Streeter Dr & Grand Ave,56102
casual,Millennium Park,31007
casual,Michigan Ave & Oak St,27526
casual,Lake Shore Dr & Monroe St,26784
member,Clark St & Elm St,23577
casual,Theater on the Lake,21722
member,Wells St & Concord Ln,20988
casual,Shedd Aquarium,20799
member,Kingsbury St & Kinzie St,20230
member,Wells St & Elm St,19087
casual,Lake Shore Dr & North Blvd,18464
member,Dearborn St & Erie St,18208
member,Wells St & Huron St,17632
member,Broadway & Barry Ave,17571
member,St. Clair St & Erie St,17522
casual,Wells St & Concord Ln,17232
casual,Indiana Ave & Roosevelt Rd,16616
member,Theater on the Lake,16426
member,Clark St & Armitage Ave,16156
member,Desplaines St & Kinzie St,15839
casual,Clark St & Lincoln Ave,15572
casual,Clark St & Elm St,15451
member,Clark St & Lincoln Ave,15279
member,Wabash Ave & Grand Ave,14988
casual,Clark St & Armitage Ave,14824
casual,Wells St & Elm St,14769
casual,Wabash Ave & Grand Ave,14752
casual,Michigan Ave & Lake St,14558
member,Streeter Dr & Grand Ave,14487
casual,Dusable Harbor,14364
casual,Michigan Ave & Washington St,13985
member,Larrabee St & Webster Ave,13973
member,Columbus Dr & Randolph St,13954
member,Clinton St & Madison St,13520
member,Green St & Madison St,13438
member,Dearborn Pkwy & Delaware Pl,13412
member,Michigan Ave & Oak St,13334
member,Broadway & Waveland Ave,13273
member,Clark St & Wrightwood Ave,13185
member,Wells St & Hubbard St,13183
member,Clark St & Schiller St,13132
member,Lincoln Ave & Fullerton Ave,13097
member,Wilton Ave & Belmont Ave,13061
member,Lake Shore Dr & North Blvd,13057
member,Wabash Ave & Roosevelt Rd,13041
member,Broadway & Cornelia Ave,12953
member,Kingsbury St & Erie St,12951
casual,Michigan Ave & 8th St,12859
member,Clark St & Drummond Pl,12798
casual,Buckingham Fountain,12555
member,Wells St & Evergreen Ave,12462
member,Ashland Ave & Division St,12400
member,Fairbanks Ct & Grand Ave,12295
member,Lakeview Ave & Fullerton Pkwy,12250
member,McClurg Ct & Erie St,12232
casual,Fairbanks Ct & Grand Ave,12091
casual,Larrabee St & Webster Ave,12080
casual,Wells St & Evergreen Ave,12047
member,Indiana Ave & Roosevelt Rd,12013
casual,Dearborn St & Erie St,11833
member,Pine Grove Ave & Waveland Ave,11821
member,Clark St & Wellington Ave,11649
casual,Broadway & Barry Ave,11593
casual,New St & Illinois St,11450
member,Halsted St & Roscoe St,11435
casual,Wells St & Huron St,11421
casual,Columbus Dr & Randolph St,11359
casual,Lakeview Ave & Fullerton Pkwy,11302
casual,Wilton Ave & Belmont Ave,11173
member,Clinton St & Washington Blvd,11144
casual,LaSalle St & Illinois St,11114
member,Loomis St & Lexington St,11100
casual,Montrose Harbor,11085
member,Orleans St & Merchandise Mart Plaza,11083
member,Halsted St & Clybourn Ave,11076
member,Daley Center Plaza,11068
casual,Clark St & Newport St,10966
member,Bissell St & Armitage Ave,10673
member,Dearborn St & Monroe St,10638
member,Larrabee St & Kingsbury St,10603
member,Sheffield Ave & Wellington Ave,10603
member,Mies van der Rohe Way & Chestnut St,10568
member,LaSalle St & Illinois St,10524
member,Rush St & Superior St,10408
member,Mies van der Rohe Way & Chicago Ave,10390
member,Milwaukee Ave & Grand Ave,10345
member,Rush St & Cedar St,10320
casual,Wabash Ave & Wacker Pl,10263
member,Southport Ave & Roscoe St,10232
member,Federal St & Polk St,10191
casual,Lincoln Ave & Fullerton Ave,10145
member,Michigan Ave & Lake St,10087
member,Clinton St & Lake St,10049
member,Southport Ave & Waveland Ave,10025
member,Clark St & Newport St,9936
member,Lake Shore Dr & Wellington Ave,9931
member,Wilton Ave & Diversey Pkwy,9834
member,Damen Ave & Pierce Ave,9820
casual,Adler Planetarium,9813
member,Halsted St & Wrightwood Ave,9799
member,Broadway & Belmont Ave,9795
member,Lakefront Trail & Bryn Mawr Ave,9790
member,State St & Kinzie St,9775
member,Franklin St & Illinois St,9714
member,Green St & Randolph St,9708
casual,Clark St & Wrightwood Ave,9690
member,Stockton Dr & Wrightwood Ave,9685
casual,Clark St & Drummond Pl,9545
casual,Sheffield Ave & Waveland Ave,9520
casual,Wabash Ave & Roosevelt Rd,9506
member,Sheffield Ave & Kingsbury St,9506
casual,Dearborn Pkwy & Delaware Pl,9475
casual,St. Clair St & Erie St,9465
casual,Damen Ave & Pierce Ave,9434
casual,Halsted St & Roscoe St,9398
casual,Ashland Ave & Division St,9377
casual,State St & Randolph St,9313
casual,State St & Kinzie St,9282
member,Halsted St & Dickens Ave,9122
casual,Green St & Madison St,9079
member,Canal St & Adams St,9075
member,State St & Randolph St,9072
casual,Wells St & Hubbard St,9066
member,Burnham Harbor,9065
member,Sheffield Ave & Webster Ave,9033
casual,Rush St & Cedar St,9024
casual,Kingsbury St & Kinzie St,9022
member,Wabash Ave & 9th St,9009
member,Michigan Ave & Washington St,8995
member,Franklin St & Chicago Ave,8933
member,Peoria St & Jackson Blvd,8898
member,Montrose Harbor,8885
member,Morgan St & Lake St,8857
casual,Green St & Randolph St,8852
casual,Lincoln Park Conservatory,8818
casual,Stockton Dr & Wrightwood Ave,8775
member,Sheridan Rd & Montrose Ave,8768
member,Sedgwick St & Huron St,8758
member,Lake Shore Dr & Belmont Ave,8751
member,Sheffield Ave & Waveland Ave,8733
casual,Desplaines St & Kinzie St,8711
member,Sheffield Ave & Willow St,8678
member,Pine Grove Ave & Irving Park Rd,8638
member,Lincoln Ave & Diversey Pkwy,8623
casual,Broadway & Cornelia Ave,8613
member,Clark St & Lake St,8565
member,Lake Shore Dr & Diversey Pkwy,8558
member,Lake Shore Dr & Monroe St,8551
member,Clark St & Chicago Ave,8540
casual,Clark St & Schiller St,8534
member,Franklin St & Lake St,8524
member,Sedgwick St & Webster Ave,8513
casual,Rush St & Superior St,8455
casual,Lake Shore Dr & Ohio St,8451
casual,DuSable Lake Shore Dr & North Blvd,8446
casual,Bissell St & Armitage Ave,8439
member,Sedgwick St & North Ave,8434
member,Sheridan Rd & Irving Park Rd,8320
member,Clark St & Randolph St,8311
member,Franklin St & Jackson Blvd,8282
casual,Southport Ave & Roscoe St,8256
member,Franklin St & Monroe St,8236
casual,Lake Shore Dr & Belmont Ave,8185
member,Michigan Ave & 14th St,8170
casual,Pine Grove Ave & Waveland Ave,8110
member,New St & Illinois St,8110
casual,Lake Shore Dr & Diversey Pkwy,8078
member,Sheffield Ave & Wrightwood Ave,8048
casual,Wabash Ave & 9th St,8044
casual,Lakefront Trail & Bryn Mawr Ave,8035
member,Wood St & Milwaukee Ave,8025
member,Paulina St & Flournoy St,8017
casual,Clark St & Grace St,8004
casual,Morgan St & Lake St,7993
member,Sheffield Ave & Fullerton Ave,7937
casual,Michigan Ave & Pearson St,7904
member,Clarendon Ave & Gordon Ter,7864
member,LaSalle Dr & Huron St,7820
member,Desplaines St & Jackson Blvd,7754
casual,Clark St & Wellington Ave,7739
member,Wolcott Ave & Polk St,7738
member,Milwaukee Ave & Wabansia Ave,7726
casual,Halsted St & Wrightwood Ave,7708
member,Ritchie Ct & Banks St,7673
member,Burling St & Diversey Pkwy,7643
member,Clark St & Grace St,7623
casual,Lake Shore Dr & Wellington Ave,7618
casual,Wilton Ave & Diversey Pkwy,7618
casual,Federal St & Polk St,7556
casual,Mies van der Rohe Way & Chestnut St,7547
